연도,출생아수,전년 대비 증감,전년 대비 증감률(%)
1970,1006645,,
1971,1024773,18128.0,1.8008334616473443
1972,952780,-71993.0,-7.025263155840367
1973,965521,12741.0,1.3372446944730054
1974,922823,-42698.0,-4.422275641855533
1975,874030,-48793.0,-5.2873627987165435
1976,796331,-77699.0,-8.88974062675194
1977,825339,29008.0,3.642706362052972
1978,750728,-74611.0,-9.040042939931347
1979,862669,111941.0,14.91099306273378
1980,862835,166.0,0.019242606376268512
1981,867409,4574.0,0.5301129416400485
1982,848312,-19097.0,-2.2016142327321964
1983,769155,-79157.0,-9.331118739331757
1984,674793,-94362.0,-12.26826842443981
1985,655489,-19304.0,-2.860729142122098
1986,636019,-19470.0,-2.9703015611245998
1987,623831,-12188.0,-1.9162949534526463
1988,633092,9261.0,1.4845366774014046
1989,639431,6339.0,1.0012762758019322
1990,649738,10307.0,1.6119018314720401
1991,709275,59537.0,9.163231948877847
1992,730678,21403.0,3.0175883825032557
1993,715826,-14852.0,-2.032632705514603
1994,721185,5359.0,0.7486456205837655
1995,715020,-6165.0,-0.8548430707793431
1996,691226,-23794.0,-3.327739084221415
1997,675394,-15832.0,-2.290423103297623
1998,641594,-33800.0,-5.004486270236342
1999,620668,-20926.0,-3.2615641667471995
2000,640089,19421.0,3.129048057898909
2001,559934,-80155.0,-12.522477342994486
2002,496911,-63023.0,-11.255433676111826
2003,495036,-1875.0,-0.37733115185616395
2004,476958,-18078.0,-3.6518556226213805
2005,438707,-38251.0,-8.019783712612016
2006,451759,13052.0,2.9751063921934273
2007,496822,45063.0,9.975008798939268
2008,465892,-30930.0,-6.225569721147616
2009,444849,-21043.0,-4.516712027680237
2010,470171,25322.0,5.692268612495477
2011,471265,1094.0,0.2326813010585571
2012,484550,13285.0,2.8190084135252924
2013,436455,-48095.0,-9.925704261686096
2014,435435,-1020.0,-0.23370106883870978
2015,438420,2985.0,0.6855213751765454
2016,406243,-32177.0,-7.339309338077637
2017,357771,-48472.0,-11.931774824427743
2018,326822,-30949.0,-8.650505490942528
2019,302676,-24146.0,-7.388119526837233
2020,272337,-30339.0,-10.02358958093803
2021,260562,-11775.0,-4.323687196378012
2022,249186,-11376.0,-4.36594745204596
2023,230028,-19158.0,-7.688232886277724
2024,238317,8289.0,3.603474359643166
