연도,예상 출생아수,95% 하한,95% 상한
2025,241545,187223,311629
2026,231826,179072,300122
2027,222498,171231,289115
2028,213545,163692,278581
2029,204953,156448,268495
2030,196706,149491,258834
2031,188791,142811,249575
2032,181195,136402,240696
2033,173904,130255,232179
2034,166906,124362,224006
2035,160191,118714,216158
2036,153745,113304,208620
2037,147559,108124,201377
2038,141621,103164,194414
2039,135923,98419,187719
2040,130454,93879,181278
2041,125205,89537,175081
2042,120167,85386,169115
2043,115332,81418,163371
2044,110691,77626,157840
2045,106237,74003,152511
2046,101962,70543,147375
2047,97860,67239,142426
2048,93922,64083,137654
2049,90143,61071,133053
2050,86516,58196,128616
2051,83035,55453,124336
2052,79694,52835,120206
2053,76487,50337,116221
2054,73409,47955,112375
2055,70455,45682,108663
2056,67621,43515,105079
2057,64900,41449,101618
2058,62288,39479,98277
2059,59782,37600,95050
2060,57376,35809,91933
2061,55068,34103,88922
2062,52852,32476,86013
2063,50725,30925,83202
2064,48684,29448,80487
2065,46725,28040,77863
2066,44845,26698,75326
2067,43041,25420,72875
2068,41309,24203,70506
2069,39647,23043,68216
2070,38052,21938,66002
2071,36520,20885,63862
2072,35051,19882,61792
2073,33641,18927,59791
2074,32287,18018,57857
2075,30988,17152,55986
2076,29741,16327,54177
2077,28544,15541,52427
2078,27396,14793,50735
2079,26293,14081,49099
2080,25235,13403,47516
2081,24220,12757,45985
2082,23246,12142,44504
2083,22310,11556,43071
2084,21412,10999,41686
2085,20551,10468,40345
2086,19724,9963,39048
2087,18930,9482,37793
2088,18169,9024,36580
2089,17438,8588,35405
2090,16736,8173,34269
2091,16063,7778,33170
2092,15416,7402,32106
2093,14796,7044,31077
2094,14201,6704,30081
2095,13629,6380,29117
2096,13081,6071,28184
2097,12554,5777,27282
2098,12049,5498,26409
2099,11564,5231,25564
2100,11099,4978,24746
