상품명,작성일,후기,감성,긍정점수,부정점수
[선물세트] 덴마크 유산균이야기 (150일분)+쇼핑백,2026-09-10,항상잘먹는유산균입니다~~~재재구매중입니다,긍정,2,0
[선물세트] 덴마크 유산균이야기 (150일분)+쇼핑백,2026-07-30,아들 주려고 샀는데 일반적으로 유산균은 냉장보관이 더 효과가 좋다하는데 냉장할수 있는 형편이 못될땐 이제품이 좋은거 같습니다 이동도 편하고 먹기도 편하고 장도 편하고 빨리 배송되는 컬리는 더 편합니다 ㅎ,부정,0,6
[선물세트] 덴마크 유산균이야기 (150일분)+쇼핑백,2026-06-30,늘 챙겨먹는 유산균 덴프스 배변이 원활해서 온가족 아침마다 공복에 먹고 하루를 시작합니다,긍정,1,0
[선물세트] 덴마크 유산균이야기 (150일분)+쇼핑백,2026-08-30,유산균이 필수 영양제라고 해서 컬리 판매 1위 유산균 주문했어요 열심히 먹어보겠습니다,중립,0,0
[선물세트] 덴마크 유산균이야기 (150일분)+쇼핑백,2026-09-09,제품이 너무 좋아서 늘 재구매입니다!ㅎ 자주 구매하는 이유는 저희 아이가 이것만 잘 먹어요. 제 아이의 장을 책임지는 필수 유산균!!ㅎ 가격대비 품질도 너무 좋구요.~ 포장도 꼼꼼하고 항상 배송도 빨라요. 또 구매할게요!! 감사합니다.ㅎ,긍정,6,0
[선물세트] 덴마크 유산균이야기 (150일분)+쇼핑백,2026-08-27,광고로 많이 접하기만 하다가 처음으로 구매해서 복용한지 일주일됐는데 먹은지 4일정도 됐을때부터 유산균의 효과가 느껴졌어요. 원래도 변비는 아니었지만 화장실을 훨씬 더 편하게 잘 가고 속이 많이 편하다는 느낌을 받아요. 그래서 더 구매하러갑니다. 알의 크기는 작은 편이라 목넘김이 아주 편하고 아침에 기상하면 공복에 물 한잔과 함께 먹습니다. 가족 모두의 유산균으로 아주 적합한 거 같아요.,긍정,4,0
[선물세트] 덴마크 유산균이야기 (150일분)+쇼핑백,2026-09-06,다른 유산균 먹다가 바꿨어요.. 괜찮은거 같아요!!!꾸준히 먹어볼 계획,긍정,2,0
[선물세트] 덴마크 유산균이야기 (150일분)+쇼핑백,2026-09-06,아들이 지속적으로 복용중인 유산균입니다. 효과가 좋은가 봐요.,긍정,2,0
[선물세트] 덴마크 유산균이야기 (150일분)+쇼핑백,2026-08-31,우리집 유산균은 덴마크 유산균 이거 먹으면 배변이 잘 되고 장이 튼튼해져요,중립,0,0
[선물세트] 덴마크 유산균이야기 (150일분)+쇼핑백,2026-08-05,"장과 배변에 관심이 많아서 별별 유산균 다 먹어봤지만 이 제품이 가장 안정적으로 잘 맞아요. 일단 ""컬리 큐레이션""이라서 믿고 꾸준히 먹고 있어요. 배변 활동도 좋아지고 장이 건강해진 것 같아요. 장-뇌 축 건강을 위해 아이들 포함 온 가족이 다 먹는데 확실히 효과 있어요. 일어나자마자 공복에 한알로 장 건강 지키세요.",긍정,6,0
[덴프스] 덴마크 유산균이야기 (60일분) +쇼핑백,2026.09.10,"이 후기는 판매구성이 다르지만 본품이 동일한 상품을 구매 후 작성된 후기입니다. 판매구성에 따라 용량, 구성, 상품명 등 일부 정보가 상이할 수 있습니다. 항상잘먹는유산균입니다~~~재재구매중입니다",긍정,2,0
[덴프스] 덴마크 유산균이야기 (60일분),2026.07.30,"이 후기는 판매구성이 다르지만 본품이 동일한 상품을 구매 후 작성된 후기입니다. 판매구성에 따라 용량, 구성, 상품명 등 일부 정보가 상이할 수 있습니다. 아들 주려고 샀는데 일반적으로 유산균은 냉장보관이 더 효과가 좋다하는데 냉장할수 있는 형편이 못될땐 이제품이 좋은거 같습니다 이동도 편하고 먹기도 편하고 장도 편하고 빨리 배송되는 컬리는 더 편합니다 ㅎ 2",부정,0,6
[덴프스] 덴마크 유산균이야기 (60일분),2026.06.30,"이 후기는 판매구성이 다르지만 본품이 동일한 상품을 구매 후 작성된 후기입니다. 판매구성에 따라 용량, 구성, 상품명 등 일부 정보가 상이할 수 있습니다. 늘 챙겨먹는 유산균 배변이 원활해서 온가족 아침마다 공복에 먹고 하루를 시작합니다 8",긍정,1,0
[덴프스] 덴마크 유산균이야기 (60일분) +쇼핑백,2026.08.30,"이 후기는 판매구성이 다르지만 본품이 동일한 상품을 구매 후 작성된 후기입니다. 판매구성에 따라 용량, 구성, 상품명 등 일부 정보가 상이할 수 있습니다. 유산균이 필수 영양제라고 해서 컬리 판매 1위 유산균 주문했어요 열심히 먹어보겠습니다 2",중립,0,0
[덴프스] 덴마크 유산균이야기 (60일분) +쇼핑백,2026.09.09,"이 후기는 판매구성이 다르지만 본품이 동일한 상품을 구매 후 작성된 후기입니다. 판매구성에 따라 용량, 구성, 상품명 등 일부 정보가 상이할 수 있습니다. 제품이 너무 좋아서 늘 재구매입니다!ㅎ 자주 구매하는 이유는 저희 아이가 이것만 잘 먹어요. 제 아이의 장을 책임지는 필수 유산균!!ㅎ 가격대비 품질도 너무 좋구요.~ 포장도 꼼꼼하고 항상 배송도 빨라요. 또 구매할게요!! 감사합니다.ㅎ",긍정,6,0
[덴프스] 덴마크 유산균이야기 (60일분) +쇼핑백,2026.08.27,"이 후기는 판매구성이 다르지만 본품이 동일한 상품을 구매 후 작성된 후기입니다. 판매구성에 따라 용량, 구성, 상품명 등 일부 정보가 상이할 수 있습니다. 광고로 많이 접하기만 하다가 처음으로 구매해서 복용한지 일주일됐는데 먹은지 4일정도 됐을때부터 유산균의 효과가 느껴졌어요. 원래도 변비는 아니었지만 화장실을 훨씬 더 편하게 잘 가고 속이 많이 편하다는 느낌을 받아요. 그래서 더 구매하러갑니다. 알의 크기는 작은 편이라 목넘김이 아주 편하고 아침에 기상하면 공복에 물 한잔과 함께 먹습니다. 가족 모두의 유산균으로 아주 적합한 거 같아요. 3",긍정,4,0
[덴프스] 덴마크 유산균이야기 (60일분) +쇼핑백,2026.09.06,"이 후기는 판매구성이 다르지만 본품이 동일한 상품을 구매 후 작성된 후기입니다. 판매구성에 따라 용량, 구성, 상품명 등 일부 정보가 상이할 수 있습니다. 다른 유산균 먹다가 바꿨어요.. 괜찮은거 같아요!!!꾸준히 먹어볼 계획 1",긍정,2,0
[덴프스] 덴마크 유산균이야기 (60일분) +쇼핑백,2026.08.31,"이 후기는 판매구성이 다르지만 본품이 동일한 상품을 구매 후 작성된 후기입니다. 판매구성에 따라 용량, 구성, 상품명 등 일부 정보가 상이할 수 있습니다. 우리집 유산균은 덴마크 유산균 이거 먹으면 배변이 잘 되고 장이 튼튼해져요",중립,0,0
